0,1,2,3,4
1296,-1372,723,993,968
-584,-1674,688,992,965
-1348,-680,-127,990,961
-1336,-511,88,992,964
-1180,784,-811,989,966
1416,-970,1117,997,969
273,-676,248,986,965
150,-1082,614,988,964
706,-378,660,984,965
-133,-682,323,991,965
-1414,861,-1378,989,966
583,4126,-1419,992,968
207,1413,-472,990,970
534,-1454,910,1001,971
2340,-2158,2053,995,974
2000,2480,-684,991,970
-3422,1418,-1821,993,967
-5077,-4283,-598,986,966
2426,-819,1005,988,963
3234,1059,831,992,966
1880,137,816,991,966
-167,1040,-487,996,973
-4126,1106,-2275,993,969
-1855,-3274,1006,991,969
1788,-775,-155,995,961
2234,-1251,1169,988,956
1948,650,541,985,962
-391,2326,-958,992,966
-3120,-449,-815,993,967
-4079,-5055,1121,986,966
-214,-722,-698,990,967
