0,1,2,3,4
1311,-831,1019,988,967
-2790,364,-966,995,967
-8383,-337,-2104,997,973
-5283,-671,-1057,990,965
1842,926,56,986,964
5079,-1224,2233,987,965
4816,-334,1676,992,962
1123,-929,876,992,966
-2477,-1107,-169,988,967
-4305,1177,-1741,978,961
-1417,26,-443,989,962
1404,-725,124,990,966
873,-395,546,989,966
2912,-773,1295,990,967
2348,1140,287,982,960
-622,265,-163,991,967
-4494,912,-1794,991,968
-3239,-218,-781,989,966
1364,67,237,990,962
2958,-1735,1858,990,965
3556,-569,1396,988,963
763,898,-249,983,966
-4652,1727,-2268,989,966
-5705,366,-1942,994,967
-536,-1896,802,988,959
4060,-1602,1646,987,964
5183,-628,1592,989,965
863,2179,-706,985,965
-4532,2096,-2468,992,964
-3544,-570,-942,996,971
1640,-1333,1263,991,966
