0,1,2,3,4
1835,-207,731,993,971
-447,1355,-418,989,966
-260,169,101,991,965
396,1831,-529,995,973
-980,-185,-35,985,961
-1998,-1002,134,996,969
1001,-1231,370,991,966
291,546,-19,989,965
-47,-369,118,996,970
73,0,49,992,963
80,-273,179,995,970
6,-67,61,986,962
26,-15,48,999,971
-19,-53,51,990,964
85,-42,17,995,970
78,-5,29,989,965
712,-1241,509,985,962
1515,-2070,1678,982,960
1716,1923,-652,995,966
-3881,1016,-1883,997,970
-3019,-1629,-142,989,966
3946,-1253,382,983,965
3794,581,219,994,969
682,1651,-466,996,968
-596,187,-511,994,965
-2446,-99,-708,991,962
2870,273,1122,997,970
2542,1633,-192,971,971
998,-136,456,990,966
-805,2908,-1293,991,971
-3716,-575,-1454,991,968
