0,1,2,3,4
-807,2670,-1336,989,964
-4997,1543,-2414,994,971
-205,-2074,812,989,966
2881,-814,1405,992,963
2613,-928,1411,985,965
134,1210,-529,986,963
-5781,2541,-3106,987,965
-3328,-798,-748,996,969
3621,-4015,853,988,969
6368,819,1234,989,965
962,3730,-1851,992,971
-4844,2354,-2721,992,969
-4291,-5446,760,990,968
564,-5343,2301,988,964
4664,1375,1785,992,963
1401,2512,-695,996,966
-5396,507,-2008,995,969
-2991,-2080,153,991,966
3000,-2519,128,989,965
3454,-975,1427,989,965
1726,1556,-244,989,967
-2604,271,-1115,988,965
-3583,-549,-746,988,964
1453,-1036,1071,993,970
1741,-612,875,990,965
464,-389,512,982,961
136,492,-341,986,962
-2524,2425,-1970,987,966
-667,-125,-130,1001,971
734,-434,316,993,970
1205,-1133,949,992,964
