0,1,2,3,4
174,-23,3,990,587
637,582,-143,992,526
63,-44,21,987,491
-511,-1170,518,993,678
-210,-414,125,990,967
298,332,-60,989,967
-10,-82,68,991,956
28,344,19,989,964
901,1367,-330,987,965
-688,117,-579,986,961
-5927,-595,-1295,993,947
40,2239,-1111,992,903
5061,1091,1059,984,907
4560,487,1540,993,942
-1612,1393,-763,996,947
-9243,-2662,-1508,990,943
-7694,-362,-1945,991,933
3327,1738,351,992,912
8576,1079,2121,989,933
4228,-128,1634,993,954
-2402,-1529,315,993,956
-9257,699,-2715,994,939
-1243,1130,-1152,984,908
4625,1922,426,992,917
6722,409,2151,993,943
653,-394,606,989,955
-5940,-125,-1522,995,958
-6137,615,-2236,990,929
885,-917,32,990,922
7381,734,2051,992,942
3865,-629,1673,993,958
