0,1,2,3,4
-2270,2365,-1834,987,963
-123,-1137,519,987,961
1297,-271,709,995,968
375,-185,201,990,965
-365,-374,141,986,965
-1498,1105,-847,988,962
-117,-599,249,996,966
554,-1228,786,987,963
1551,-184,595,986,966
485,1499,-355,990,967
-2463,2134,-1812,993,969
1070,-1164,904,992,963
2057,-1001,1523,989,971
392,-910,809,989,965
-1830,445,-913,990,968
-676,1213,-968,991,966
814,-1434,992,991,967
1562,-1540,1499,995,970
876,-650,758,995,968
-460,155,141,989,965
-783,1607,-1209,990,964
77,238,7,986,962
171,-1854,981,982,961
1106,-1238,984,989,965
452,441,-329,984,962
-2822,3175,-2475,987,965
189,-988,378,996,969
1465,-1862,1215,994,964
1979,-1655,1578,987,964
393,1783,-610,990,961
-1684,3691,-2766,991,970
