0,1,2,3,4
-1047,902,-861,990,966
439,-2547,1498,985,966
1217,-3300,2217,992,961
-150,1256,-476,983,963
-3315,2302,-2534,990,967
-201,-2127,674,991,964
1599,-2547,1801,985,963
1861,-115,699,982,958
-85,2026,-1088,991,964
-2099,2229,-1623,987,963
1390,-1196,1120,991,967
695,-2676,2046,988,965
-17,2179,-791,986,963
-1959,2932,-2241,989,965
977,-971,752,995,965
1927,-526,951,985,964
307,500,-37,989,965
-2587,-163,-744,990,966
278,44,-118,986,964
237,1119,-522,991,967
748,-1100,957,990,966
-879,1813,-1108,991,966
-2627,1251,-949,991,965
3002,-786,1123,988,964
1325,848,-23,989,965
889,-1001,958,988,964
-1149,2259,-1250,991,967
-927,1422,-1138,984,963
2454,-2861,1109,993,968
1661,-341,1066,995,968
-229,109,93,997,968
