0,1,2,3,4
-156,-245,72,986,961
1569,6336,134,991,961
728,-299,-638,988,961
-2025,-6650,486,988,959
324,230,63,985,961
1105,6844,142,991,968
1641,1180,-616,995,963
-1770,-6618,445,991,966
-296,154,104,988,961
1600,6899,159,990,966
921,-1254,-1011,995,965
-2803,-8191,901,989,962
732,2246,-171,989,960
2034,7099,188,984,958
427,-3185,-587,991,963
-4284,-5216,1574,988,961
2440,8670,-359,986,959
1621,3282,-1286,992,956
-1896,-7051,825,991,966
-1217,-3262,638,987,961
1644,7374,-6,988,962
1505,697,-1106,989,958
-2417,-7620,810,989,962
81,1419,101,988,959
2166,8535,236,989,961
996,-1715,-1156,989,961
-3580,-9452,1263,981,960
950,3794,-153,985,958
1983,8287,163,980,957
-32,-2477,-596,988,960
-3062,-6090,978,985,958
