0,1,2,3,4
686,116,152,992,958
-551,-4074,-170,988,960
-1819,-1220,883,988,958
2276,6243,167,991,965
1109,-4126,-1236,995,963
-3919,-4501,1573,988,962
2911,9288,-549,985,959
906,470,71,984,958
-2982,-6675,975,990,962
16,-1897,-150,987,961
1295,4885,129,990,960
935,190,-397,991,961
-1178,-4139,306,989,962
-272,777,617,990,962
1246,5048,87,991,962
725,-954,-496,991,965
-1654,-5204,459,993,965
81,975,38,988,961
969,4616,177,982,959
815,-1625,-841,987,960
-2024,-4993,710,987,960
529,2475,52,983,957
1068,4364,166,983,957
242,-1675,-477,991,962
-1598,-3966,536,988,961
635,4280,148,988,958
1918,2877,-1027,985,957
-700,-3661,336,985,959
-1842,-4435,577,982,958
1005,4711,81,999,966
1527,1182,-712,985,957
