0,1,2,3,4
-767,409,297,991,965
1162,562,-672,990,955
567,-969,155,985,956
-631,-2442,227,988,960
-893,1093,543,985,956
1550,1941,-874,992,958
-93,-2737,-284,982,955
-1471,-3404,427,990,957
464,3325,79,989,964
1337,3234,-1324,989,960
-286,-3531,-20,995,962
-1360,-1270,575,990,964
1049,4740,221,988,960
546,199,437,989,960
-676,-3128,209,992,960
-512,-66,374,997,964
741,3685,324,990,956
654,478,283,984,959
-450,-2094,199,990,961
-636,388,417,989,960
989,3810,-838,989,960
587,-1865,-323,990,962
-627,-2600,352,988,960
-374,3120,359,988,958
1474,2083,-834,990,960
-398,-2606,-116,989,960
-1124,-1972,369,984,959
360,3567,214,990,955
836,769,-130,989,959
-365,-2913,-101,982,959
-986,-1507,325,985,960
