0,1,2,3,4
-922,-9232,4181,991,962
-3564,-14624,-685,985,960
-272,4221,-325,997,967
2543,13658,-148,988,960
846,676,-946,983,956
-2622,-8448,697,988,953
-169,-2700,-110,983,961
949,3785,5,991,965
272,1958,326,987,960
104,-147,52,988,958
-70,484,312,991,964
394,3110,98,981,954
1771,137,-579,987,959
-859,-6433,195,988,958
-1845,-5911,238,987,960
1194,8003,105,987,960
1604,6278,78,985,959
414,-4876,14,988,960
-3923,-7316,1145,988,960
1460,6262,-201,985,961
1529,7160,33,983,957
446,-3976,-86,990,960
-3322,-6530,978,986,959
1465,4172,-392,982,959
1580,4408,-199,987,958
-610,-3973,176,984,957
-1449,-1814,583,990,957
1610,4360,-203,989,965
77,2044,198,989,959
-28,-158,155,988,954
122,231,-43,990,956
