0,1,2,3,4
-1452,-5336,345,989,962
198,1031,7,988,959
1105,5108,204,991,965
752,170,-347,995,963
-1366,-4580,239,985,960
145,126,44,994,964
816,3824,240,987,962
713,671,-237,988,961
-773,-5034,-50,990,964
-717,-1977,242,988,961
858,6493,309,989,961
1667,1895,-429,988,963
-2034,-6339,448,990,962
-787,-1097,602,988,960
1495,5999,-53,986,960
515,-1546,-514,992,960
-2453,-6690,632,984,962
664,2325,-86,988,958
1370,6749,220,982,959
749,-2190,-1024,987,960
-2905,-7098,1028,988,960
1594,5278,-96,985,955
1613,5304,-241,990,967
-915,-6792,9,988,959
-2178,-4419,1280,982,961
2605,10417,6,989,961
1065,663,-177,989,962
-3384,-8248,1081,990,965
-20,-2020,-13,988,959
1237,7526,238,990,962
1422,891,-747,990,961
