0,1,2,3,4
9,-80,57,989,965
37,-72,53,990,962
-5,-70,70,989,965
38,-77,64,985,962
10,-48,57,990,965
28,-78,69,989,963
20,-86,60,991,969
-34,-75,85,989,965
37,-60,61,991,969
-35,-98,88,992,964
38,-57,54,989,971
6,-70,47,990,963
15,-35,44,990,961
12,-50,55,989,966
17,-75,81,991,965
105,400,-91,990,967
131,-153,41,990,961
-188,-116,164,988,965
235,-241,-37,991,967
-101,55,79,990,964
91,-41,36,994,962
-324,268,-352,990,964
-1001,925,-493,989,965
-411,-3769,1453,987,964
1523,-4005,-82,982,961
-2255,-1649,-106,962,960
-1209,7238,-812,993,967
2426,2668,-704,994,967
-546,-5061,2992,993,971
-308,-5284,-1452,986,963
-4096,-1206,-464,984,962
