0,1,2,3,4
2560,5506,-1899,990,958
-672,-4974,915,986,959
-3428,-8958,907,983,958
971,5587,31,993,964
3604,12717,-4070,990,957
293,-4509,108,996,964
-3312,-5727,871,993,961
1508,5404,-48,989,961
2114,1826,-1125,990,963
-825,-5600,474,989,960
-2065,-3910,1053,986,959
1788,6608,46,985,959
1260,1821,-389,989,961
-1402,-4617,508,984,959
-566,393,391,990,957
1042,3820,141,988,959
285,-516,268,986,958
-445,-1523,166,987,960
-60,434,57,989,961
-485,-196,107,991,964
507,-1311,-51,991,964
40,297,315,995,967
-406,1079,366,987,961
433,-450,-8,978,958
-78,-42,121,989,959
-354,464,210,994,960
312,-196,-48,981,955
-132,-18,107,986,958
417,-613,-519,990,961
-256,-2752,-99,987,959
-1407,-1744,556,986,959
