0,1,2,3,4
76,24,15,995,966
80,96,48,986,969
40,-26,62,992,962
1,-55,-42,982,961
-77,-80,35,990,885
298,220,-26,1002,583
-273,-404,173,983,502
-109,326,-159,986,487
-144,51,0,988,490
-40,-147,38,992,477
-95,-110,53,993,478
-15,-152,61,991,469
20,-247,98,988,467
-148,-212,224,990,536
432,901,-143,990,869
-41,-168,106,990,960
62,-38,32,988,963
5,-274,108,994,965
-7,-155,107,992,962
7,-179,75,985,962
40,-213,52,988,964
78,67,10,985,960
-24,48,4,990,755
313,37,143,987,518
-272,-227,91,991,479
-107,-209,65,991,479
47,21,40,1002,494
-43,-31,35,992,502
-70,-106,42,996,487
-90,-526,242,991,446
-21,-103,220,993,623
