0,1,2,3,4
-72,-306,145,985,513
-50,-173,88,987,504
22,-1234,-104,990,487
568,-1227,-563,987,442
-226,1595,275,993,839
179,-663,-120,990,943
9,48,87,990,535
-412,2799,120,988,504
164,-740,59,993,487
-12,262,112,993,490
67,-1250,-28,984,489
170,-700,182,987,555
-286,725,173,986,963
71,-548,55,986,962
18,698,138,986,962
-119,360,151,990,853
696,-428,-223,991,543
66,-383,4,988,493
20,-318,78,987,477
57,-330,-51,990,472
-156,-221,45,992,468
-3,-358,291,990,551
99,1669,218,989,827
-159,-914,240,991,952
-30,-111,62,991,970
32,45,-4,985,966
-65,-33,17,986,948
130,173,-19,992,628
-640,-654,120,992,479
-142,-32,13,991,479
-21,-126,70,993,485
