0,1,2,3,4
-272,-227,91,991,479
-107,-209,65,991,479
47,21,40,1002,494
-43,-31,35,992,502
-70,-106,42,996,487
-90,-526,242,991,446
-21,-103,220,993,623
345,686,-86,990,949
-39,-187,126,993,969
43,-154,99,985,962
-66,-334,134,987,962
50,-21,10,988,961
103,-93,-20,986,962
33,205,0,985,948
64,-58,81,989,626
-93,-744,325,988,496
-213,304,-87,1001,490
-295,-52,12,996,496
-96,-126,43,991,474
19,-816,-2,990,463
268,337,195,997,465
137,196,-53,987,452
31,-45,46,990,780
4,-178,97,986,942
-42,-428,160,990,965
135,178,-19,999,969
-78,-244,145,986,960
34,-98,40,988,963
-39,-196,100,995,810
283,325,-80,988,486
-42,126,13,992,450
