0,1,2,3,4
-120,-183,122,991,700
13,-224,57,991,899
-104,111,128,997,814
252,564,93,986,555
228,-1139,284,991,526
147,-1532,-96,989,499
-289,-274,295,990,638
-72,298,83,990,945
4,874,138,991,893
95,4066,-830,991,599
-186,-535,242,991,580
358,-508,-120,993,607
-115,433,187,992,664
113,-811,-50,986,909
169,-183,-51,988,924
-99,-180,103,989,591
-288,168,482,989,505
249,-749,-74,995,510
-360,603,298,993,512
-429,566,432,986,540
0,-293,58,992,866
14,212,167,999,912
-21,-176,94,993,860
599,-495,55,991,528
-74,926,235,992,498
-2,-958,-87,990,467
131,-540,73,992,463
-124,377,162,995,739
-25,-210,85,988,924
89,-361,17,992,681
-338,1677,309,991,504
