0,1,2,3,4
-25,-210,85,988,924
89,-361,17,992,681
-338,1677,309,991,504
-196,-599,306,996,486
-9,-774,52,996,493
24,-510,137,990,651
-143,244,96,990,896
-123,-135,115,1001,805
548,1211,-54,997,535
-94,-561,-58,990,492
415,-1659,-349,986,485
-474,1498,609,988,552
262,-399,-113,987,879
-187,431,205,985,812
153,255,95,988,544
-115,37,135,991,508
207,-1006,-144,986,503
-92,-172,256,993,653
-123,450,113,986,905
-117,417,204,992,849
-27,292,111,991,565
-86,-639,291,993,529
148,-717,-26,985,502
-88,-444,162,986,685
81,206,19,990,923
187,3657,-1377,995,836
194,390,-55,990,557
-334,-959,388,995,536
-74,179,86,989,550
-155,-633,194,993,668
54,-60,-5,990,746
