0,1,2,3,4
23,147,33,985,959
-26,-173,139,988,918
825,293,-80,995,534
152,329,-60,988,483
72,-339,-52,988,470
300,-602,-218,991,527
145,-102,-15,985,912
-278,992,250,996,901
502,-675,-15,987,561
-104,24,306,986,459
377,-1041,-330,991,446
224,-284,-347,988,463
115,148,-18,990,852
-146,126,101,991,959
153,-368,-33,993,960
-127,268,142,983,935
75,-264,55,989,889
-62,-33,69,991,705
505,-516,282,986,541
362,-947,-92,988,486
-81,-286,181,989,461
-328,631,256,988,441
-438,996,388,993,471
305,460,74,993,492
228,153,-45,990,849
-163,1023,262,991,957
62,-1056,61,995,967
163,-867,-76,988,836
134,1380,246,988,580
172,-1005,-348,991,485
-90,2,115,982,486
